original name,prefix,title,primary,secondary,suffix,number,fuller form,dates, ,source
"Meyers, Gladys.",,,Meyers,Gladys,,,,,,lcnaf
"Mezzano, Louis.",,,Mezzano,Louis,,,,,,lcnaf
"Michelf, Rodolfo.",,,Michelf,Rodolfo,,,,,,lcnaf
"Mielke, William R.",,,Mielke,William R,,,,,,lcnaf
"Miles, Tom.",,,Miles,Tom,,,,,,lcnaf
"Milio, Nancy.",,,Milio,Nancy,,,,,http://id.loc.gov/authorities/names/n80132939,lcnaf
"Millard, Dorothy McCorkell.",,,Millard,Dorothy McCorkell,,,,,,lcnaf
"Millard, Frank A.",,,Millard,Frank A,,,,,,lcnaf
"Miller, Art.",,,Miller,Art,,,,,,lcnaf
"Miller, Arthur.",,,Miller,Arthur,,,,,,lcnaf
"Miller, Ed.",,,Miller,Ed,,,,,,lcnaf
"Miller, Frank White.",,,Miller,Frank White,,,,,,lcnaf
"Miller, Frederick L.",,,Miller,Frederick L,,,,,http://id.loc.gov/authorities/names/n90711376,lcnaf
"Miller, George.",,,Miller,George,,,,,,lcnaf
"Miller, James Grier.",,,Miller,James Grier,,,,,http://id.loc.gov/authorities/names/n88028169,lcnaf
"Miller, Norman F.",,,Miller,Norman F,,,,,http://id.loc.gov/authorities/names/n93802467,lcnaf
"Miller, Richard P.",,,Miller,Richard P,,,,,,lcnaf
"Milliken, Helen (Helen Wallbank)",,,Milliken,Helen,,,Helen Wallbank,,,lcnaf
"Milliken, Helen W. (Helen Wallbank)",,,Milliken,Helen W.,,,Helen Wallbank,,,lcnaf
"Milliken, John.",,,Milliken,John,,,,,,lcnaf
"Millin, Leslie.",,,Millin,Leslie,,,,,,lcnaf
"Mills, Harriet C.",,,Mills,Harriet C,,,,,,lcnaf
"Mills, Julia H.",,,Mills,Julia H,,,,,,lcnaf
"Minard, Fred E.",,,Minard,Fred E,,,,,,lcnaf
"Minkoff, Lynn.",,,Minkoff,Lynn,,,,,,lcnaf
Minor J. Coon.,,,Coon,Minor J.,,,,,,lcnaf
"Minor, Donald Ellis.",,,Minor,Donald Ellis,,,,,,lcnaf
"Minton, Sherman.",,,Minton,Sherman,,,,,,lcnaf
"Miriani, Louis C.",,,Miriani,Louis C,,,,,http://id.loc.gov/authorities/names/n91085171,lcnaf
"Mitchell, Robert.",,,Mitchell,Robert,,,,,,lcnaf
"Mitchner, Charles H.",,,Mitchner,Charles H,,,,,,lcnaf
"Mizner, Henry R.",,,Mizner,Henry R,,,,,,lcnaf
"Moessner, Victoria Joan.",,,Moessner,Victoria Joan,,,,,,lcnaf
"Mohr, Carl Frank.",,,Mohr,Carl Frank,,,,,,lcnaf
"Molesworth, Jack E.",,,Molesworth,Jack E,,,,,,lcnaf
"Moncrieff, Frederick E.",,,Moncrieff,Frederick E,,,,,,lcnaf
"Montague, Gilbert H.",,,Montague,Gilbert H,,,,,,lcnaf
"Monteith, Alexander.",,,Monteith,Alexander,,,,,,lcnaf
"Monteith, Charles.",,,Monteith,Charles,,,,,,lcnaf
"Monteith, Edward H.",,,Monteith,Edward H,,,,,,lcnaf
"Monteith, Edwin Harris.",,,Monteith,Edwin Harris,,,,,,lcnaf
"Monteith, Sarah S.",,,Monteith,Sarah S,,,,,,lcnaf
"Montgomery, Andrew.",,,Montgomery,Andrew,,,,,,lcnaf
"Montgomery, Jeffrey.",,,Montgomery,Jeffrey,,,,,http://id.loc.gov/authorities/names/n2002154336,lcnaf
"Montgomery, Lawrence K.",,,Montgomery,Lawrence K,,,,,,lcnaf
"Montrose, Joseph.",,,Montrose,Joseph,,,,,,lcnaf
"Monts, Lester Parker.",,,Monts,Lester Parker,,,,,http://id.loc.gov/authorities/names/n84133408,lcnaf
"Moody, Arthur B.",,,Moody,Arthur B,,,,,,lcnaf
"Moody, Charles D.",,,Moody,Charles D,,,,,,lcnaf
"Moody, Christella D. Journey through South Africa. 1991.",,,Moody,Christella D. Journey through South Africa. 1991,,,,,,lcnaf
"Moody, Christella D. Personal journey through South Africa. 1991.",,,Moody,Christella D. Personal journey through South Africa. 1991,,,,,,lcnaf
"Moon, Charles H.",,,Moon,Charles H,,,,,,lcnaf
"Moore, B. T.",,,Moore,B. T,,,,,,lcnaf
"Moore, Beverly.",,,Moore,Beverly,,,,,,lcnaf
"Moore, James W.",,,Moore,James W,,,,,,lcnaf
"Moore, Samuel.",,,Moore,Samuel,,,,,,lcnaf
"Moore, Walden.",,,Moore,Walden,,,,,http://id.loc.gov/authorities/names/n92118464,lcnaf
"Morgan, Charles.",,,Morgan,Charles,,,,,,lcnaf
"Morgan, Edmund Sears.",,,Morgan,Edmund Sears,,,,,,lcnaf
"Morgan, Elisha.",,,Morgan,Elisha,,,,,,lcnaf
"Morgan, Gilbert.",,,Morgan,Gilbert,,,,,,lcnaf
"Morgan, James N.",,,Morgan,James N,,,,,,lcnaf
"Morgan, James.",,,Morgan,James,,,,,,lcnaf
"Morgan, Lucy Stow.",,,Morgan,Lucy Stow,,,,,,lcnaf
"Morgan, Polly Babcock.",,,Morgan,Polly Babcock,,,,,,lcnaf
"Morgan, Robert O.",,,Morgan,Robert O,,,,,http://id.loc.gov/authorities/names/n2012074688,lcnaf
"Morgan, Sam.",,,Morgan,Sam,,,,,,lcnaf
"Morley, George W.",,,Morley,George W,,,,,http://id.loc.gov/authorities/names/n92805027,lcnaf
"Morris, Matilda.",,,Morris,Matilda,,,,,,lcnaf
"Morris, Robert.",,,Morris,Robert,,,,,,lcnaf
"Morris, Sam.",,,Morris,Sam,,,,,http://id.loc.gov/authorities/names/no97078517,lcnaf
"Morrow, James H.",,,Morrow,James H,,,,,,lcnaf
"Morse, Dan F.",,,Morse,Dan F,,,,,http://id.loc.gov/authorities/names/n79128120,lcnaf
"Mott, Ellen.",,,Mott,Ellen,,,,,,lcnaf
"Mount, Julia Lunt.",,,Mount,Julia Lunt,,,,,,lcnaf
"Mouron, Gérard A.",,,Mouron,Gérard A,,,,,,lcnaf
"Mowbray, Carol T.",,,Mowbray,Carol T,,,,,http://id.loc.gov/authorities/names/n84073065,lcnaf
"Moyers, Bill D.",,,Moyers,Bill D,,,,,http://id.loc.gov/authorities/names/n81024550,lcnaf
"Muehlig, Bertha E.",,,Muehlig,Bertha E,,,,,,lcnaf
"Muehlig, Fay.",,,Muehlig,Fay,,,,,,lcnaf
"Muehlig, Robert.",,,Muehlig,Robert,,,,,,lcnaf
"Muffett, James S.",,,Muffett,James S,,,,,,lcnaf
"Muffly, Gary",,,Muffly,Gary,,,,,,lcnaf
"Mukle, Muy.",,,Mukle,Muy,,,,,,lcnaf
"Muldoon, William.",,,Muldoon,William,,,,,,lcnaf
"Mulhern, Daniel Granholm.",,,Mulhern,Daniel Granholm,,,,,http://id.loc.gov/authorities/names/n2006065711,lcnaf
"Mullens, W. H.",,,Mullens,W. H,,,,,,lcnaf
"Muller, E. B.",,,Muller,E. B,,,,,,lcnaf
"Muller, Robert H.",,,Muller,Robert H,,,,,,lcnaf
"Muller, William.",,,Muller,William,,,,,,lcnaf
"Muncy, Levi.",,,Muncy,Levi,,,,,,lcnaf
"Muncy, Lydia B. (Lydia Baird)",,,Muncy,Lydia B.,,,Lydia Baird,,,lcnaf
"Munger, Octavia.",,,Munger,Octavia,,,,,,lcnaf
"Munn, John.",,,Munn,John,,,,,,lcnaf
"Munson, Gregory W.",,,Munson,Gregory W,,,,,,lcnaf
"Murphy, Barbara.",,,Murphy,Barbara,,,,,,lcnaf
"Murphy, M. J.",,,Murphy,M. J,,,,,,lcnaf
"Murphy, Marguerite.",,,Murphy,Marguerite,,,,,,lcnaf
"Murphy, Sharon Ann.",,,Murphy,Sharon Ann,,,,,,lcnaf
"Murphy, William F.",,,Murphy,William F,,,,,http://id.loc.gov/authorities/names/n2007026535,lcnaf
"Murray, James E.",,,Murray,James E,,,,,,lcnaf
"Murray, William Hansen.",,,Murray,William Hansen,,,,,,lcnaf
"Murrg, F. M.",,,Murrg,F. M,,,,,,lcnaf
"Murrow, Edward R.",,,Murrow,Edward R,,,,,http://id.loc.gov/authorities/names/n50026550,lcnaf
"Muschenheim, William.",,,Muschenheim,William,,,,,http://id.loc.gov/authorities/names/no97032876,lcnaf
"Muse, Clarence.",,,Muse,Clarence,,,,,http://id.loc.gov/authorities/names/n82127185,lcnaf
"Musser, Benjamin Francis.",,,Musser,Benjamin Francis,,,,,,lcnaf
"Musser, Dan.",,,Musser,Dan,,,,,,lcnaf
"Myles, Cleo.",,,Myles,Cleo,,,,,,lcnaf
"Nader, Ralph.",,,Nader,Ralph,,,,,http://id.loc.gov/authorities/names/n80067178,lcnaf
"Nagal, A.",,,Nagal,A,,,,,,lcnaf
"Navin, Thomas J.",,,Navin,Thomas J,,,,,http://id.loc.gov/authorities/names/no2009008653,lcnaf
"Neal, Homer A.",,,Neal,Homer A,,,,,http://id.loc.gov/authorities/names/n87853531,lcnaf
"Neiberg, Vicki.",,,Neiberg,Vicki,,,,,,lcnaf
"Nelson, J. Raleigh (Joseph Raleigh)",,,Nelson,J. Raleigh,,,Joseph Raleigh,,http://id.loc.gov/authorities/names/no92033138,lcnaf
"Nelson, Wallace F.",,,Nelson,Wallace F,,,,,http://id.loc.gov/authorities/names/no2011175832,lcnaf
"Nelson, Walter Morrow.",,,Nelson,Walter Morrow,,,,,,lcnaf
"Ness, Nina L.",,,Ness,Nina L,,,,,,lcnaf
"Netzorg, Katherine S.",,,Netzorg,Katherine S,,,,,,lcnaf
"Netzorg, Morton Isadore.",,,Netzorg,Morton Isadore,,,,,,lcnaf
"Netzorg, Morton J.",,,Netzorg,Morton J,,,,,http://id.loc.gov/authorities/names/n85245286,lcnaf
"Netzorg, Petra Fuld.",,,Netzorg,Petra Fuld,,,,,,lcnaf
"Neubecker, Janice.",,,Neubecker,Janice,,,,,,lcnaf
"Neubecker, Michael.",,,Neubecker,Michael,,,,,,lcnaf
"Neumeier, Matthew",,,Neumeier,Matthew,,,,,,lcnaf
"Newberry, Robert E.",,,Newberry,Robert E,,,,,,lcnaf
"Newcombe, John.",,,Newcombe,John,,,,,,lcnaf
"Newell, Barbara W.",,,Newell,Barbara W,,,,,,lcnaf
"Newkirk, Birkett.",,,Newkirk,Birkett,,,,,,lcnaf
"Newman, George S.",,,Newman,George S,,,,,,lcnaf
"Newman, Pauline.",,,Newman,Pauline,,,,,,lcnaf
"Nichols, Joseph.",,,Nichols,Joseph,,,,,,lcnaf
"Nicholson, Patrick.",,,Nicholson,Patrick,,,,,,lcnaf
"Nicholson, Walter G.",,,Nicholson,Walter G,,,,,,lcnaf
"Nicke, Herbert Henry.",,,Nicke,Herbert Henry,,,,,,lcnaf
"Nickerson, Mark.",,,Nickerson,Mark,,,,,,lcnaf
"Nicoll, Virginia White.",,,Nicoll,Virginia White,,,,,,lcnaf
"Nicoloff, George.",,,Nicoloff,George,,,,,,lcnaf
"Nielsen, Bent.",,,Nielsen,Bent,,,,,,lcnaf
"Nielson, Axel.",,,Nielson,Axel,,,,,,lcnaf
"Niezychowski, Alfred von.",,,Niezychowski,Alfred von,,,,,http://id.loc.gov/authorities/names/nr2006014391,lcnaf
"Noble, John F.",,,Noble,John F,,,,,,lcnaf
"Nordby, Virginia.",,,Nordby,Virginia,,,,,http://id.loc.gov/authorities/names/n77011952,lcnaf
"Norman, Jessye.",,,Norman,Jessye,,,,,http://id.loc.gov/authorities/names/n81132078,lcnaf
"Norman, Martha Prescod.",,,Norman,Martha Prescod,,,,,,lcnaf
"Norris, Abbott.",,,Norris,Abbott,,,,,,lcnaf
"Norris, Harold.",,,Norris,Harold,,,,,,lcnaf
"North, Oliver.",,,North,Oliver,,,,,http://id.loc.gov/authorities/names/n86008183,lcnaf
"Norwood, Rose.",,,Norwood,Rose,,,,,,lcnaf
"Nowack, Edward A.",,,Nowack,Edward A,,,,,,lcnaf
"Nowell, Charles E.",,,Nowell,Charles E,,,,,http://id.loc.gov/authorities/names/n82028018,lcnaf
"Nowland, Chester.",,,Nowland,Chester,,,,,,lcnaf
"Noyes, James.",,,Noyes,James,,,,,,lcnaf
"Nu, U.",,,Nu,U,,,,,,lcnaf
"Nussbaum, Karen.",,,Nussbaum,Karen,,,,,http://id.loc.gov/authorities/names/n82219859,lcnaf
"Nye, Kathryn C.",,,Nye,Kathryn C,,,,,,lcnaf
"O'Brien, Eleanor Lawton.",,,O'Brien,Eleanor Lawton,,,,,,lcnaf
"O'Brien, Gerald.",,,O'Brien,Gerald,,,,,,lcnaf
"O'Brien, James F.",,,O'Brien,James F,,,,,,lcnaf
"O'Brien, John H.",,,O'Brien,John H,,,,,,lcnaf
"O'Brien, John J.",,,O'Brien,John J,,,,,,lcnaf
"O'Brien, Lawrence Francis.",,,O'Brien,Lawrence Francis,,,,,,lcnaf
"O'Brien, Michael.",,,O'Brien,Michael,,,,,,lcnaf
"O'Dell, Frederick C. (Frederick Charles)",,,O'Dell,Frederick C.,,,Frederick Charles,,,lcnaf
"O'Donohue, Clayton.",,,O'Donohue,Clayton,,,,,,lcnaf
"O'Farrell, Brigid.",,,O'Farrell,Brigid,,,,,http://id.loc.gov/authorities/names/n86859916,lcnaf
"O'Hair, Madalyn Murray.",,,O'Hair,Madalyn Murray,,,,,http://id.loc.gov/authorities/names/n50025063,lcnaf
"O'Hara, Elmer B.",,,O'Hara,Elmer B,,,,,,lcnaf
"O'Hara, James G.",,,O'Hara,James G,,,,,,lcnaf
"O'Malley, Patrick J.",,,O'Malley,Patrick J,,,,,,lcnaf
"O'Neal, Joe.",,,O'Neal,Joe,,,,,,lcnaf
"O'Neill, Tip.",,,O'Neill,Tip,,,,,http://id.loc.gov/authorities/names/n80032314,lcnaf
"O'Rourke, Maureen.",,,O'Rourke,Maureen,,,,,,lcnaf
"O'Shaughnessy, John.",,,O'Shaughnessy,John,,,,,,lcnaf
"O'Sullivan, James.",,,O'Sullivan,James,,,,,,lcnaf
"Ocker, Phyllis.",,,Ocker,Phyllis,,,,,,lcnaf
"Oddie, James.",,,Oddie,James,,,,,http://id.loc.gov/authorities/names/nr93028635,lcnaf
"Odegaard, Charles E.",,,Odegaard,Charles E,,,,,http://id.loc.gov/authorities/names/n80037886,lcnaf
"Odgers, Susan.",,,Odgers,Susan,,,,,,lcnaf
"Odjard, Otto Arthur.",,,Odjard,Otto Arthur,,,,,,lcnaf
"Ogatis, C.",,,Ogatis,C,,,,,,lcnaf
"Oglesby, Beth.",,,Oglesby,Beth,,,,,,lcnaf
"Olds, Schuyler Seager.",,,Olds,Schuyler Seager,,,,,,lcnaf
"Olencki, Edward V.",,,Olencki,Edward V,,,,,,lcnaf
"Oliver, William H.",,,Oliver,William H,,,,,,lcnaf
"Olmsted, Martha Louise Kinsey",,,Olmsted,Martha Louise Kinsey,,,,,,lcnaf
"Olson, Carl G.",,,Olson,Carl G,,,,,,lcnaf
"Olson, Charles.",,,Olson,Charles,,,,,,lcnaf
"Olson, Gary M.",,,Olson,Gary M,,,,,http://id.loc.gov/authorities/names/n82015388,lcnaf
"Olson, Norman.",,,Olson,Norman,,,,,,lcnaf
"Ono, Yeijiro.",,,Ono,Yeijiro,,,,,,lcnaf
"Oosterbaan, Delmas.",,,Oosterbaan,Delmas,,,,,,lcnaf
"Organski, A.F.K.",,,Organski,A.F.K,,,,,,lcnaf
"Orlebeke, Charles J.",,,Orlebeke,Charles J,,,,,http://id.loc.gov/authorities/names/n83159503,lcnaf
"Osborn, Curtis.",,,Osborn,Curtis,,,,,,lcnaf
"Osborn, George A.",,,Osborn,George A,,,,,,lcnaf
"Osborne, Norman V.",,,Osborne,Norman V,,,,,,lcnaf
"Osler, David W.",,,Osler,David W,,,,,,lcnaf
"Ostafin, Peter A.",,,Ostafin,Peter A,,,,,,lcnaf
"Ostrand, Lillian G.",,,Ostrand,Lillian G,,,,,,lcnaf
"Ott, Harvey N.",,,Ott,Harvey N,,,,,,lcnaf
"Ouradnik, Francis W.",,,Ouradnik,Francis W,,,,,,lcnaf
"Overholt, Gerald.",,,Overholt,Gerald,,,,,,lcnaf
"Ovshinsky, Stanford R.",,,Ovshinsky,Stanford R,,,,,http://id.loc.gov/authorities/names/n85078870,lcnaf
"Owen, Gary M.",,,Owen,Gary M,,,,,http://id.loc.gov/authorities/names/n79098019,lcnaf
"Owen, George W.",,,Owen,George W,,,,,,lcnaf
"Owen, R. Dwight.",,,Owen,R. Dwight,,,,,,lcnaf
"Owens, Clara.",,,Owens,Clara,,,,,,lcnaf
"Owens, Henry J.",,,Owens,Henry J,,,,,,lcnaf
"Owens, John",,,Owens,John,,,,,,lcnaf
"Owens, John P.",,,Owens,John P,,,,,http://id.loc.gov/authorities/names/no99013765,lcnaf
"O’Neal, Joe",,,O’Neal,Joe,,,,,,lcnaf
"Pacosz, Christina V.",,,Pacosz,Christina V,,,,,http://id.loc.gov/authorities/names/n82206517,lcnaf
"Paddock, Alfred J.",,,Paddock,Alfred J,,,,,,lcnaf
"Page, Douglas H.",,,Page,Douglas H,,,,,,lcnaf
"Page, Lawrence Sherman.",,,Page,Lawrence Sherman,,,,,,lcnaf
"Pahl, Marvin F.",,,Pahl,Marvin F,,,,,,lcnaf
"Palmer, Calvin A.",,,Palmer,Calvin A,,,,,,lcnaf
"Palmer, Emmett Newton.",,,Palmer,Emmett Newton,,,,,,lcnaf
"Palmer, Fidelia Randall.",,,Palmer,Fidelia Randall,,,,,,lcnaf
"Palmer, Fidelia.",,,Palmer,Fidelia,,,,,,lcnaf
"Palmer, Fred E.",,,Palmer,Fred E,,,,,,lcnaf
"Palmer, George E.",,,Palmer,George E,,,,,http://id.loc.gov/authorities/names/n50050261,lcnaf
"Palmer, John S.",,,Palmer,John S,,,,,,lcnaf
"Palmer, Louisa Fidelia.",,,Palmer,Louisa Fidelia,,,,,,lcnaf
"Palmer, William B.",,,Palmer,William B,,,,,,lcnaf
"Paras-Perez, Rodolfo.",,,Paras-Perez,Rodolfo,,,,,http://id.loc.gov/authorities/names/n82118458,lcnaf
"Parker, Blanche.",,,Parker,Blanche,,,,,,lcnaf
"Parker, Edward Foster.",,,Parker,Edward Foster,,,,,,lcnaf
"Parker, G.",,,Parker,G,,,,,,lcnaf
"Parker, Lucy.",,,Parker,Lucy,,,,,,lcnaf
"Parkhurst, Stephen.",,,Parkhurst,Stephen,,,,,,lcnaf
"Parr, Clayton.",,,Parr,Clayton,,,,,http://id.loc.gov/authorities/names/no97054546,lcnaf
"Parran, Thomas.",,,Parran,Thomas,,,,,,lcnaf
"Parrish, Silver.",,,Parrish,Silver,,,,,,lcnaf
"Parsons, Harriet G.",,,Parsons,Harriet G,,,,,,lcnaf
"Parsons, Jeffrey R.",,,Parsons,Jeffrey R,,,,,http://id.loc.gov/authorities/names/n79056565,lcnaf
"Parsons, Mary Hrones.",,,Parsons,Mary Hrones,,,,,http://id.loc.gov/authorities/names/n90623626,lcnaf
"Parsons, Philo.",,,Parsons,Philo,,,,,,lcnaf
"Paschen, F.",,,Paschen,F,,,,,,lcnaf
"Paton, Alan.",,,Paton,Alan,,,,,http://id.loc.gov/authorities/names/n79058640,lcnaf
"Patrick, Lawrence C.",,,Patrick,Lawrence C,,,,,,lcnaf
"Patrick, William.",,,Patrick,William,,,,,,lcnaf
"Patt, Dorothy Wiard.",,,Patt,Dorothy Wiard,,,,,,lcnaf
"Pattengill, Craig L.",,,Pattengill,Craig L,,,,,,lcnaf
"Patterson, L. Brooks.",,,Patterson,L. Brooks,,,,,http://id.loc.gov/authorities/names/no00070108,lcnaf
"Patterson, Merib Rowley.",,,Patterson,Merib Rowley,,,,,http://id.loc.gov/authorities/names/n89612059,lcnaf
"Patterson, Minnie Ward.",,,Patterson,Minnie Ward,,,,,,lcnaf
"Patterson, Willis C.",,,Patterson,Willis C,,,,,http://id.loc.gov/authorities/names/n79044388,lcnaf
"Paul, Ray.",,,Paul,Ray,,,,,,lcnaf
"Paustian, Bonita.",,,Paustian,Bonita,,,,,,lcnaf
"Pavey, Ernest W.",,,Pavey,Ernest W,,,,,,lcnaf
"Payne, Elizabeth Clark.",,,Payne,Elizabeth Clark,,,,,,lcnaf
"Peabody, Charles.",,,Peabody,Charles,,,,,,lcnaf
"Peabody, Thomas A.",,,Peabody,Thomas A,,,,,,lcnaf
"Pealer, Russell R.",,,Pealer,Russell R,,,,,,lcnaf
"Pearce, Myrtis Raab.",,,Pearce,Myrtis Raab,,,,,,lcnaf
"Pearl, Edward E.",,,Pearl,Edward E,,,,,,lcnaf
"Pearson, Karl G.",,,Pearson,Karl G,,,,,http://id.loc.gov/authorities/names/n79100423,lcnaf
"Pearson, Lester B.",,,Pearson,Lester B,,,,,http://id.loc.gov/authorities/names/n50049186,lcnaf
"Peck, Fannie.",,,Peck,Fannie,,,,,,lcnaf
"Peck, William H.",,,Peck,William H,,,,,,lcnaf
"Peet, Max Minor.",,,Peet,Max Minor,,,,,http://id.loc.gov/authorities/names/n87101284,lcnaf
"Peirsol, Thomas Reardon.",,,Peirsol,Thomas Reardon,,,,,,lcnaf
"Penn, Sylvia.",,,Penn,Sylvia,,,,,,lcnaf
"Penna, D. S. Ferreira.",,,Penna,D. S. Ferreira,,,,,,lcnaf
"Pennington, Fred A.",,,Pennington,Fred A,,,,,http://id.loc.gov/authorities/names/n86811930,lcnaf
"Pennington, Jasper Green.",,,Pennington,Jasper Green,,,,,http://id.loc.gov/authorities/names/no2009110045,lcnaf
"Penrod, John.",,,Penrod,John,,,,,,lcnaf
"Pepin, George E.",,,Pepin,George E,,,,,,lcnaf
"Perazza, Julio.",,,Perazza,Julio,,,,,,lcnaf
"Perez-Banuet, Alicia.",,,Perez-Banuet,Alicia,,,,,,lcnaf
"Perigo, Donald J.",,,Perigo,Donald J,,,,,,lcnaf
"Perino, Gregory.",,,Perino,Gregory,,,,,http://id.loc.gov/authorities/names/n85203957,lcnaf
"Perkins, Jonathon Ellsworth.",,,Perkins,Jonathon Ellsworth,,,,,,lcnaf
"Perkins, Myra.",,,Perkins,Myra,,,,,,lcnaf
"Perrone, Dominic Joseph.",,,Perrone,Dominic Joseph,,,,,,lcnaf
"Perry, Emily S.",,,Perry,Emily S,,,,,,lcnaf
"Perry, Hicken.",,,Perry,Hicken,,,,,,lcnaf
Peter Sparling.,,,Sparling,Peter,,,,,,lcnaf
"Peters, Alice E. H.",,,Peters,Alice E. H,,,,,,lcnaf
"Petersen, Donald E.",,,Petersen,Donald E,,,,,http://id.loc.gov/authorities/names/n88154607,lcnaf
"Peterson, John A.",,,Peterson,John A,,,,,,lcnaf
"Pettibone, Samuel.",,,Pettibone,Samuel,,,,,,lcnaf
"Phelan, Bessie.",,,Phelan,Bessie,,,,,,lcnaf
"Phelps, Dudley Maynard.",,,Phelps,Dudley Maynard,,,,,http://id.loc.gov/authorities/names/nb99122524,lcnaf
"Phillips, Harriett",,,Phillips,Harriett,,,,,,lcnaf
"Phillips, Michael G.",,,Phillips,Michael G,,,,,http://id.loc.gov/authorities/names/n91080646,lcnaf
"Phillips, Paul.",,,Phillips,Paul,,,,,,lcnaf
"Phillips, Sandra E.",,,Phillips,Sandra E,,,,,,lcnaf
"Piconke, Joseph.",,,Piconke,Joseph,,,,,,lcnaf
"Pierce, William J.",,,Pierce,William J,,,,,,lcnaf
"Piercy, Marge.",,,Piercy,Marge,,,,,http://id.loc.gov/authorities/names/n79088854,lcnaf
"Pierson, Bowen Whiting.",,,Pierson,Bowen Whiting,,,,,http://id.loc.gov/authorities/names/n96086137,lcnaf
"Pierson, Clara Dillingham.",,,Pierson,Clara Dillingham,,,,,http://id.loc.gov/authorities/names/no00084442,lcnaf
"Pierson, H. Lynn.",,,Pierson,H. Lynn,,,,,,lcnaf
"Pilcher, C. James.",,,Pilcher,C. James,,,,,http://id.loc.gov/authorities/names/no96060123,lcnaf
"Pilling, Patricia L.",,,Pilling,Patricia L,,,,,,lcnaf
"Pincus, Celia.",,,Pincus,Celia,,,,,,lcnaf
"Pinkney, Edward.",,,Pinkney,Edward,,,,,,lcnaf
"Pinkus, Hermann.",,,Pinkus,Hermann,,,,,http://id.loc.gov/authorities/names/n80067553,lcnaf
"Pinkus, Hilde Hensel.",,,Pinkus,Hilde Hensel,,,,,,lcnaf
"Pinkus, Walter",,,Pinkus,Walter,,,,,,lcnaf
"Piper, Horace.",,,Piper,Horace,,,,,,lcnaf
"Piper, William J.",,,Piper,William J,,,,,,lcnaf
"Pittman, Carter.",,,Pittman,Carter,,,,,,lcnaf
"Pittman, James E.",,,Pittman,James E,,,,,http://id.loc.gov/authorities/names/no2010030190,lcnaf
"Plamer, Louisa Fidelia.",,,Plamer,Louisa Fidelia,,,,,,lcnaf
"Plamondon, Genie.",,,Plamondon,Genie,,,,,,lcnaf
"Plamondon, Pun--Trials, litigation, etc.",,,Plamondon,Pun,,,,,,lcnaf
"Plamondon, Pun.",,,Plamondon,Pun,,,,,,lcnaf
"Plank, Clarence Abram.",,,Plank,Clarence Abram,,,,,,lcnaf
"Plumer, James Marshall.",,,Plumer,James Marshall,,,,,http://id.loc.gov/authorities/names/no95039483,lcnaf
"Plunckett, Horace.",,,Plunckett,Horace,,,,,,lcnaf
"Plunkett Green, Harry.",,,Plunkett Green,Harry,,,,,,lcnaf
"Poinier, Arthur Best.",,,Poinier,Arthur Best,,,,,,lcnaf
"Poling, H. A.",,,Poling,H. A,,,,,,lcnaf
"Polk, Ralph L.",,,Polk,Ralph L,,,,,,lcnaf
"Polk, Wardell.",,,Polk,Wardell,,,,,,lcnaf
"Pollard, William.",,,Pollard,William,,,,,,lcnaf
"Pomari, M.",,,Pomari,M,,,,,,lcnaf
"Pomeroy, Austin.",,,Pomeroy,Austin,,,,,,lcnaf
"Pomeroy, Susan Lincoln.",,,Pomeroy,Susan Lincoln,,,,,,lcnaf
"Pond, Allen Bartlit.",,,Pond,Allen Bartlit,,,,,,lcnaf
"Poole, S. Alicia.",,,Poole,S. Alicia,,,,,,lcnaf
"Pooley, Beverly J.",,,Pooley,Beverly J,,,,,,lcnaf
"Porter, David R.",,,Porter,David R,,,,,,lcnaf
"Porter, Kenneth.",,,Porter,Kenneth,,,,,,lcnaf
"Porter, Russell B.",,,Porter,Russell B,,,,,,lcnaf
"Porter, William Earl.",,,Porter,William Earl,,,,,http://id.loc.gov/authorities/names/n81129597,lcnaf
"Porzondek, Anthony B.",,,Porzondek,Anthony B,,,,,,lcnaf
"Post, E. M.",,,Post,E. M,,,,,,lcnaf
"Post, Marjorie Merriweather.",,,Post,Marjorie Merriweather,,,,,http://id.loc.gov/authorities/names/n94058204,lcnaf
"Potter, John M.",,,Potter,John M,,,,,,lcnaf
"Potts, Randy.",,,Potts,Randy,,,,,,lcnaf
"Potts, Robert L.",,,Potts,Robert L,,,,,,lcnaf
"Powell, John.",,,Powell,John,,,,,,lcnaf
"Power, Philip H.",,,Power,Philip H,,,,,,lcnaf
"Power, Sadye.",,,Power,Sadye,,,,,,lcnaf
"Powers, John Ward.",,,Powers,John Ward,,,,,,lcnaf
"Powrie, Emerson F.",,,Powrie,Emerson F,,,,,,lcnaf
"Powrie, Gwendolyn Sutton.",,,Powrie,Gwendolyn Sutton,,,,,http://id.loc.gov/authorities/names/no2010017717,lcnaf
"Prahalad, C. K.",,,Prahalad,C. K,,,,,http://id.loc.gov/authorities/names/n82077061,lcnaf
"Prashad, Vijay.",,,Prashad,Vijay,,,,,http://id.loc.gov/authorities/names/n99832874,lcnaf
"Prato, Gene.",,,Prato,Gene,,,,,,lcnaf
"Pray, Frank F.",,,Pray,Frank F,,,,,,lcnaf
"Prejean, Helen.",,,Prejean,Helen,,,,,http://id.loc.gov/authorities/names/n92115539,lcnaf
"Prescott, R. F.",,,Prescott,R. F,,,,,,lcnaf
"Pressey, Edward Pearson.",,,Pressey,Edward Pearson,,,,,,lcnaf
